slug,title,body,tags
shipping-times,Shipping & delivery times,"Standard shipping in the US takes 3-5 business days. Express shipping is 1-2 business days. International orders typically arrive in 7-14 business days depending on destination.",shipping;delivery;timing
returns-policy,Return policy,"You may return any unopened item within 30 days of delivery for a full refund. Opened items in like-new condition may be returned within 14 days for store credit. Final-sale items are not eligible for return.",returns;refund;policy
warranty,Standard warranty coverage,"All NeonCart-sold products carry a 1-year limited warranty against manufacturing defects. Premium electronics (laptops, monitors) carry a 2-year warranty. Extended warranties can be purchased at checkout.",warranty;coverage
order-tracking,How to track your order,"Once your order ships you will receive a tracking number via email. You can also view tracking on your account page under 'My Orders'. Tracking typically updates within 24 hours of dispatch.",orders;tracking;shipping
account-recovery,Account recovery & password reset,"To reset your password, click 'Forgot Password' on the sign-in page. You will receive a reset link via email. The link expires in 60 minutes for security. For account access issues contact support.",account;password;security
payment-methods,Accepted payment methods,"We accept Visa, Mastercard, American Express, Discover, Apple Pay, Google Pay, PayPal, and store gift cards. Buy-now-pay-later via Affirm is available on orders over $100.",payment;billing
gift-cards,Gift cards,"NeonCart gift cards come in $25, $50, $100, $250, and $500 denominations. They never expire and can be combined with promotional codes. Physical gift cards ship free.",gift-cards;billing
international-shipping,International shipping,"We ship to over 30 countries. International orders may be subject to customs duties and taxes payable on delivery. Free international shipping is available on orders over $200.",shipping;international
order-cancellation,Cancelling an order,"You can cancel an order from your account page within 1 hour of placing it. After that, the order enters fulfillment and cannot be cancelled — you can instead request a return after delivery.",orders;cancellation
promotion-codes,Using promotion codes,"Promotion codes can be entered at checkout. Only one promotion code can be used per order. Promotion codes cannot be combined with employee discounts or price-match.",promotions;billing
employee-discount,Employee discount program,"NeonCart employees receive 40% off most items using the EMPLOYEE40 code. Some product categories (specifically gift cards and limited-edition items) are excluded from employee discounts.",employees;promotions
price-match,Price match guarantee,"We will match prices from authorized resellers within 14 days of purchase. Submit a price-match request through your account page with a link to the competitor listing.",pricing;match;billing
bulk-orders,Bulk and corporate orders,"For orders of 10 or more identical items, contact our business sales team at sales@neoncart.local for volume pricing. Tax-exempt purchases require documentation on file.",business;bulk;sales
data-privacy,Data privacy & GDPR,"We do not sell your personal data. EU residents may request a data export or deletion under GDPR. Submit requests via the privacy portal on your account page.",privacy;gdpr;data
loyalty-program,NeonCart Rewards loyalty program,"Earn 1 point per dollar spent. 100 points equals $1 in rewards. Members at Silver tier get free express shipping; Gold tier members get 5% off every order.",loyalty;rewards
defective-items,Reporting a defective item,"If your item arrived defective or damaged, please contact support within 7 days with photos. We will arrange a free replacement or full refund.",defects;warranty;returns
shipping-rates,Domestic shipping rates,"Standard ground shipping is free on orders over $50, otherwise $5.99 flat. Express 2-day shipping is $14.99. Overnight shipping is $24.99 and orders must be placed by 2pm local time.",shipping;rates
size-charts,Sizing & compatibility,"For accessories and cases, see our compatibility guide on each product page. For wearables, our universal sizing chart is linked from the product details.",sizing;compatibility
recycling,Recycling and trade-in program,"Trade in any old electronics for store credit toward your next purchase. We responsibly recycle items at certified e-waste partners. See the trade-in portal for current values.",sustainability;recycling
contact-support,Contacting support,"Reach our support team via the chat widget on any page, by email at support@neoncart.local, or by phone at 1-800-NEON-CART. Live chat is available 24/7 in English.",support;contact
